Local Language,English,Translated_English
تحذير : لديه عطلة واحدة على الاقل,,Warning: It has at least one holiday
اسم العطلة لا يمكن ان يكون فارغا,,The holiday name cannot be empty
تحذير : الاسم مكرر,,Warning: Duplicate name
فارغ,,Empty
لا يمكن الاتصال بالمضيف,,Cannot connect to host
يمكن عدم التفعيل بواسطة,,Can be deactivated by
تركيبة التاريخ غير صحيحية - يرجى اعادة الاختيار,,Invalid date format - please select again
القيمة التي ادخلتها اكبر من مجموع الصفحات!,,The value you entered is greater than the total number of pages!
يرجى ادخال القيمة الصحيحة !,,Please enter the correct value!
خطأ : تفاصيل الادخالات غير صحيحة,,Error: Input details are invalid
يرجى ادخال عدد رقم المرجع,,Please enter the reference number
يرجى ادخال سبب الرفض,,Please enter the reason for rejection
رقم مرجعكم الداخلي,,Your internal reference number
حرف غير صالح,,Invalid character
احرف غير صالحة,,Invalid characters
عنوان البريد الالكتروني غير صالح,,Invalid email address
رقم التذكرة (التوكن) غير صالح - حاول مرة اخرى,,Invalid ticket (token) number - try again
مطلوب,,Required
تاريخ اصدار الاعتماد يجب ان لا يكون سابقا لتاريخ انتهاء الاعتماد ( تاريخ اصدار الاعتماد يجب ان يكون سابقا لتاريخ انتهاء الاعتماد),,The letter of credit issuance date must not be earlier than the letter of credit expiry date (The letter of credit issuance date must be earlier than the letter of credit expiry date)
رقم الاعتماد فارغا - يرجى اختيار رقم الاعتماد,,The letter of credit number is empty - please select the letter of credit number
تحذير: الحد الادنى للادخالات لكل صفحة هو 10! يرجى اعادة الادخال!,,Warning: The minimum number of entries per page is 10! Please re-enter!
حدثت مشكلة اثناء الدخول,,A problem occurred during login
يرجى تعبئة الحقول الاجبارية,,Please fill in the required fields
عدد محاولات التاكيد القصوى 3 - يرجى اعادة المحاولة لاحقا,,The maximum number of verification attempts is 3 - please try again later
تكبير,,Zoom in
تصغيير,,Zoom out
طريقة الشحن الثانية لا يجب ان تكون مماثلة لطريقة الشحن الاولى,,The second shipping method must not be the same as the first shipping method
التعديل تم حفظه بنجاح  !,,The amendment was saved successfully!
تاريخ الانتهاء الجديد يجب ان لا يكون سابقا لتاريخ اليوم!,,The new expiry date must not be earlier than today's date!
تاريخ الانتهاء الجديد يجب ان لا يكون سابقا لتاريخ الانتهاء الاصلي !,,The new expiry date must not be earlier than the original expiry date!
تاريخ الانتهاء الجديد يجب ان لا يكون سابقا لتاريخ اليوم!,,The new expiry date must not be earlier than today's date!
قيمة الكفالة الجديدة يجب ان لا تكون اقل من صفر,,The new guarantee amount must not be less than zero
قيمة الاعتماد الجديدة يجب ان لا تكون اقل من صفر,,The new letter of credit amount must not be less than zero
كلمة السر الجديده  فارغه,,The new password is empty
الرمز السري الجديد لا يمكن ان يكون مماثلا للرمز السري القديم,,The new passcode cannot be the same as the old passcode
كلمة السر القديمه فارغه,,The old password is empty
الرمز السري القديم خطأ,,The old passcode is incorrect
يوجد فقط 28 يوما في هذا الشهر - يرجى اعادة الاختيار,,There are only 28 days in this month - please choose again
يوجد فقط 29 يوما في هذا الشهر - يرجى اعادة الاختيار,,There are only 29 days in this month - please choose again
يوجد فقط 30 يوما في هذا الشهر - يرجى اعادة الاختيار,,There are only 30 days in this month - please choose again
يوجد فقط  31 يوما في هذا الشهر - يرجى اعادة الاختيار,,There are only 31 days in this month - please choose again
التالي,,Next
السابق,,Previous
رمز هذا الطرف موجود ، يرجى التاكد,,"This party code already exists, please verify"
اسم هذا الطرف مقبول,,This party name is acceptable
اسم هذا الطرف مستعمل سابقا - يرجى استعمال اسم اخر,,This party name has been used before - please use another name
كلمة السر يجب ان لا تكون متتابعه,,The password must not be sequential
كلمة السر لا يمكن ان تكون رقم مكرر,,The password cannot be a repeated number
يرجى اختيار نوع الدفع,,Please select the payment type
اختار بوليصة الشحن بالطرود البريدية,,Select the parcel post bill of lading
الصفحة,,Page
لم يتم اختيار منتج,,No product has been selected
يجب اختيار احد السجلات,,You must select one of the records
سبب الرفض طويل جدا!,,The reason for rejection is too long!
تحديث,,Update
تم تسجيله سابقا - يرجى اختيار آخر,,It has already been registered - please select another
تم تسجيله سابقا لرمز الوحدة الحالية- يرجى اختيار آخر,,Already registered for the current unit code - please select another
مطلوب ويجب ان لا يكون صفرا,,Required and must not be zero
اجراء,,Action
وصف المستند,,Document description
شكل المستند,,Document format
اسم المستند,,Document name
وصف البريد,,Email description
مشاهدة,,View
مشاهدة البريد,,View email
مشاهدة التقرير,,View report
اسم الوظيفة اجباري !,,Job name is required!
لا يمكن احضارشرط التقرير,,Cannot retrieve the report condition
يجب اختيار اسم احد التقارير,,You must select a report name
اختار مستند النقل البري/السكك الحديدية/الطرق المائية الداخلية,,Select the road/rail/inland waterway transport document
مستخدم فعال,,Active user
فعال,,Active
رقم حساب الشركة,,Company account number
مستخدم غير فعال,,Inactive user
غير فعال,,Inactive
اسم الوظيفة,,Job name
اسم المستخدم,,Username
اسم المستخدم,,Username
تحذير,,Warning
غير صحيحية - يرجى اعادة الاختيار,,Invalid - please reselect
يرجى اختيارالشركات,,Please select the companies
يرجى اختيار رقم حساب العميل,,Please select the customer account number
يرجى اختيار البريد الالكتروني المطلوب حذفه,,Please select the email address to delete
يرجى اختيار البريد الالكتروني المطلوب تعديله,,Please select the email address to edit
يرجى اختيار احد  ( FAP ) قبل النقر على تاكيد!,,Please select one (FAP) before clicking Confirm!
يرجى اختيار احد ( FAP) من القائمة !,,Please select one (FAP) from the list!
يجب اختيار حقل واحد على الاقل لاظهار الفهرس,,You must select at least one field to display the index
يجب اختيار حقل واحد على الاقل لاظهار التصدير,,You must select at least one field for export
يرجى اختيار احد السجلات,,Please select a record
لم يتم اختيار دور صحيح - يرجى اختيار دور,,No valid role was selected - please select a role
يرجى اختيار سجل,,Please select a record
الجلسة قد انتهت - يرجى اعادة الدخول للنظام,,The session has expired - please log in again
قيمة الاطلاع يجب ان لا تكون اكبر من قيمة بوليصة التحصيل,,The sight amount must not be greater than the collection bill amount
يرجى تعبئة نسبة الاطلاع,,Please enter the sight percentage
قيمة كفالة التخليص اكبر من رصيد الاعتماد,,The clearance guarantee amount is greater than the LC balance
مطلوب الرمز التعريفي للمجموعة,,Group ID is required
رمز حساب التعهدات هو,,The commitments account code is
تاريخ اخر موعد للشحن يجب ان لا يكون سابقا لتاريخ طلب الاعتماد,,The latest shipment date must not be earlier than the LC application date
تاريخ اخر موعد للشحن يجب ان لا يكون سابقا لتاريخ اصدار الاعتماد,,The latest shipment date must not be earlier than the LC issuance date
تاريخ اخر موعد للشحن يجب ان لا يكون لاحقا لتاريخ انتهاء الاعتماد الجديد,,The latest shipment date must not be later than the new LC expiry date
تاريخ اخر موعد للشحن يجب ان لا يكون  لاحقا لتاريخ انتهاء الاعتماد الجديد,,The latest shipment date must not be later than the new LC expiry date
تاريخ اخر موعد للشحن يجب ان لا يكون لاحقا لتاريخ انتهاء الاعتماد الجديد,,The latest shipment date must not be later than the expiry date of the new letter of credit
تاريخ اخر موعد للشحن وفترة الشحن يجب ان لا يظهرا في نفس الوقت ( ويجب عدم استخدامهما بنفس الوقت ),,The latest shipment date and the shipment period must not appear at the same time (and must not be used simultaneously)
يرجى تحديد المستند المطلوب. مستند شحن بري/ مستند شحن بالسكك الحديدية/ مستند شحن بالطرق المائية الداخلية,,Please specify the required document: road transport document / rail transport document / inland waterway transport document
البريد الالكتروني,,Email
اسم البريد الالكتروني للمجموعة,,Group email name
قائمة البريد الالكتروني,,Email list
هل تؤكد على بدء المهمة؟,,Do you confirm starting the task?
سبب الرفض,,Reason for rejection
هل تؤكد على انهاء المهمة؟,,Do you confirm ending the task?
معاملتكم معلقة بانتظار تزويدنا بالنماذج موقعة,,Your transaction is pending until we receive the signed forms
حدثت مشكلة اثناء تقديم طلبك,,A problem occurred while submitting your request
تبديل اللغة قد يتسبب بفقدان البيانات غير المحفوظة / المخزنة,,Changing the language may result in the loss of unsaved data
رقم الهاتف غير صالح,,Invalid phone number
يرجى تحديد نوع الاستحقاق,,Please specify the maturity type
البيانات مطلوبة,,This field is required
التذكرة (توكن) مخصصة من قبل الى,,The token is assigned by to
يرجى اختيار الرقم المتسلسل للتوكن,,Please select the token serial number
الرقم الرمزي (رقم التوكن) غير موجود,,The token code (token number) does not exist
القيمةالاجمالية لا تساوي  اجمالى التزامات العميل القائمة تجاه البنك - يرجى التاكد مرة اخرى,,The total value does not equal the customer's total outstanding obligations to the bank - please check again
القيمة الاجمالية لا يمكن ان تتجاوز اجمالى التزامات العميل القائمة تجاه البنك,,The total value cannot exceed the customer's total outstanding obligations to the bank
مجموع النسب المئوية لا يمكن ان تتجاوز  100,,The sum of the percentages cannot exceed 100
اسم النموذج اجباري,,Template name is required
قيمة الاعتماد المراد تحويله تتجاوز رصيد الاعتماد,,The value of the LC to be transferred exceeds the LC balance
قيمة الاعتماد المراد تحويله تتجاوز قيمة الاعتماد الرئيسية,,The value of the LC to be transferred exceeds the main LC amount
تاريخ انتهاء الاعتماد المحول لا يمكن ان يكون اكبر من تاريخ انتهاء الاعتماد الاصلي,,The expiry date of the transferred LC cannot be later than the expiry date of the original LC
تاريخ انتهاء اخر موعد للشحن للاعتماد المحول لا يمكن ان يكون اكبر من تاريخ انتهاء الاعتماد الاصلي,,The last date of shipment for the transferred LC cannot be later than the expiry date of the original LC
تاريخ انتهاء اخر موعد للشحن للاعتماد المحول لا يمكن ان يكون اكبر من تاريخ انتهاء اخر موعد للشحن للاعتماد الاصلي,,The last date of shipment for the transferred LC cannot be later than the last date of shipment for the original LC
قيمة معاملتكم تتجاوز حدود صلاحياتكم، بانتظار موافقةالبنك/موافقة الائتمان,,Your transaction amount exceeds your authorization limits; awaiting bank/credit approval
قيمة معاملتكم ضمن حدود صلاحياتكم,,Your transaction amount is within your authorization limits
احصائيات الحركة,,Transaction statistics
حدث خلل غير متوقع,,An unexpected error occurred
تم استخدامة - يرجى اختيار آخر,,Already used - please select another
اسم المستخدم اجباري !,,Username is required!
قائمة الشركات المخصصة,,Assigned companies list
قائمة الشركات المتاحة,,Available companies list
تأكيد,,Confirm
حفظ القائمة,,Save list
مشاهدة,,View
يجب اختيار بند مناسب من قائمة الاشعارات,,You must select an appropriate item from the notifications list
يجب ادخال رقم فاسكو التذكرة (التوكن),,You must enter the Vasco token number
الوصف,,Description
بند,,Item
السعر,,Price
الكمية,,Quantity
دليل المستخدم,,User Guide
سعر الوحدة,,Unit Price
تحذير: الحد الاعلى للادخالات لكل صفحة هو 100! يرجى اعادة الادخال!,,Warning: The maximum number of entries per page is 100! Please re-enter!
تحذير:تركيبة  رقم المرجع خاطئة. الطول الاقصى لرقم المرجع يجب ان لا يزيد عن 22,,Warning: The reference number format is invalid. The maximum length of the reference number must not exceed 22 characters.
تحميل,,Download
هذه النافذة قديمة يرجى اغلاقها واعادة فتحها مرة اخرى,,This window is outdated; please close it and reopen it.
هذه الدولة مستخدمة سابقا ، يرجى اعادة محاولة رمز تعريفي اخر,,This country is already in use; please try another identifier code.
وقت العمل يبدأ بعد الوقت الاضافي,,Working time starts after overtime.
خاصية البحث خاطئة,,The search feature is incorrect.
صفحة خطأ,,Error Page
لا يمكن انشاء XMLHttp object,,Cannot create XMLHttp object
اجراءات اضافية,,Additional Actions
مشاهدة,,View
تعديل,,Edit
CSX To CE رساله من,,Message from CSX To CE
مجموعة البنك,,Bank Group
رمز الشركة,,Company code
رمز الدولة,,Country code
محتوى الرسالة,,Message content
معلومات الحركة,,Transaction information
حالة الحركة,,Transaction status
البحث عن اسم الشركة,,Search by company name
نوع التقرير,,Report type
رقم التقرير,,Report number
رمز STP,,STP code
الرمز التعريفي للمجموعة,,Group ID
رمز الشركة,,Company code
رمز المستخدم,,User code
أو الرمز التعريفي للمستخدم,,or user ID
رقم حساب العميل,,Customer account number
المنتج,,Product
رمز الدولة,,Country code
نوع التقرير,,Report type
عداد المرجع,,Reference counter
نموذج التقرير,,Report template
وقت الاستلام,,Time of receipt
المعلومات العامة,,General information
محتوى الرسالة,,Message content
و,,and
حركة مجازة,,Authorized transaction
يحتوي,,contains
